,0,1,2,3,4,5,6
99,2014-02-06 00:00:00+08:00,5.401299613762324,5.357890965890726,5.376494587635915,5.3950982093811035,39958000,39958000
100,2014-02-07 00:00:00+08:00,5.444708442646858,5.40129979333211,5.42610482028318,5.413702011108398,30175000,30175000
101,2014-02-10 00:00:00+08:00,5.4323060442699544,5.382695992017135,5.426104639888734,5.3950982093811035,27154000,27154000
102,2014-02-11 00:00:00+08:00,5.550130105730193,5.469513618100776,5.469513618100776,5.481916427612305,60940000,60940000
103,2014-02-12 00:00:00+08:00,5.593539789991177,5.531526920326213,5.531526920326213,5.568734169006348,52470000,52470000
104,2014-02-13 00:00:00+08:00,5.568733728598979,5.475715022856541,5.568733728598979,5.481916427612305,32056000,32056000
105,2014-02-14 00:00:00+08:00,5.5377272452795285,5.4819157917484,5.500519412459297,5.494318008422852,36504000,36504000
106,2014-02-17 00:00:00+08:00,5.5377272452795285,5.4819157917484,5.500519412459297,5.494318008422852,28806000,28806000
107,2014-02-18 00:00:00+08:00,5.537727970400227,5.48191650956104,5.494318727859461,5.531526565551758,28993000,28993000
108,2014-02-19 00:00:00+08:00,5.550130188698648,5.50052013270793,5.531526565551758,5.531526565551758,23584000,23584000
109,2014-02-20 00:00:00+08:00,5.525324778783235,5.488117535061283,5.525324778783235,5.500519752502441,21417000,21417000
110,2014-02-21 00:00:00+08:00,5.568733991024532,5.512923119788097,5.531526743533575,5.550130367279053,26187000,26187000
111,2014-02-24 00:00:00+08:00,5.488118749880918,5.426105874752871,5.488118749880918,5.4571123123168945,36854000,36854000
112,2014-02-25 00:00:00+08:00,5.457112135967385,5.432307104997475,5.432307104997475,5.4385085105896,28859000,28859000
113,2014-02-26 00:00:00+08:00,5.469514355753046,5.4385085105896,5.4385085105896,5.4385085105896,28306000,28306000
114,2014-02-27 00:00:00+08:00,5.4571123123168945,5.432307280545397,5.438508686337923,5.4571123123168945,33230000,33230000
115,2014-03-03 00:00:00+08:00,5.438508270811555,5.38889761966043,5.419904054855422,5.401300430297852,34053000,34053000
