,0,1,2,3,4,5,6
1966,2021-09-24 00:00:00+08:00,17.49097150443065,16.96239711206829,17.01045032939731,17.20265769958496,21041392,21041392
1967,2021-09-27 00:00:00+08:00,17.683177494427348,17.298760951013364,17.34681233154911,17.6351261138916,25213444,25213444
1968,2021-09-28 00:00:00+08:00,18.01954317052814,17.298761443707015,17.539022019314057,17.87538719177246,33564390,33564390
1969,2021-09-29 00:00:00+08:00,18.01954317052814,17.49097063740974,17.63512661616542,17.87538719177246,26064254,26064254
1970,2021-09-30 00:00:00+08:00,18.355907380030505,17.923437633408227,17.97149084583438,18.163698196411133,41160577,41160577
1971,2021-10-01 00:00:00+08:00,18.452011924095427,17.635125645390726,18.2117513617142,17.779281616210938,46259831,46259831
1972,2021-10-04 00:00:00+08:00,19.46110555287954,17.683177024649922,18.83642845729687,17.779281616210938,135200916,135200916
1973,2021-10-05 00:00:00+08:00,18.067593618828084,17.346811929251817,17.587072492443905,17.97149085998535,42830709,42830709
1974,2021-10-06 00:00:00+08:00,18.115647740619263,17.39486601486287,18.067594525743207,17.490970611572266,27528871,27528871
1975,2021-10-07 00:00:00+08:00,17.779283027126365,17.394866463418673,17.587073828751137,17.53902244567871,25169837,25169837
1976,2021-10-08 00:00:00+08:00,17.731230708005764,17.394865545127526,17.539021519777435,17.6351261138916,13498516,13498516
1977,2021-10-12 00:00:00+08:00,18.163698086771394,17.490969614249558,17.63512558457262,17.587072372436523,33107913,33107913
1978,2021-10-13 00:00:00+08:00,18.11564683129208,17.683177084329266,17.73123029679326,17.97149085998535,36424683,36424683
1979,2021-10-14 00:00:00+08:00,17.97149176207653,17.44291739669621,17.923438547200472,17.490970611572266,34534555,34534555
1980,2021-10-15 00:00:00+08:00,17.827332995470137,17.49096967457051,17.587072433088906,17.779281616210938,14568545,14568545
1981,2021-10-18 00:00:00+08:00,17.923438044330414,17.587072881806137,17.7792820698322,17.827333450317383,14708531,14708531
1982,2021-10-19 00:00:00+08:00,18.30785416760435,17.875386254024697,17.923437633408227,18.163698196411133,44563915,44563915
1983,2021-10-20 00:00:00+08:00,18.30785364168345,17.923437118530273,18.16369767463133,17.923437118530273,16995273,16995273
1984,2021-10-21 00:00:00+08:00,18.163699097851488,17.683177947998047,18.067594501272257,17.683177947998047,18572950,18572950
1985,2021-10-22 00:00:00+08:00,17.779282568657734,17.490970611572266,17.779282568657734,17.490970611572266,19725220,19725220
1986,2021-10-25 00:00:00+08:00,17.923438063191423,17.539021519777435,17.587072900313185,17.6351261138916,16697992,16697992
1987,2021-10-26 00:00:00+08:00,17.779281554895686,17.490969614249558,17.779281554895686,17.587072372436523,12611397,12611397
1988,2021-10-27 00:00:00+08:00,17.635126057733434,17.442916870117188,17.53902146392531,17.442916870117188,14607883,14607883
1989,2021-10-28 00:00:00+08:00,18.01954317052814,17.394866040558377,17.442917422462695,17.87538719177246,41101345,41101345
1990,2021-10-29 00:00:00+08:00,18.25980232987943,17.587072037140526,17.779281215935235,18.115646362304688,38168618,38168618
1991,2021-11-01 00:00:00+08:00,19.365000639481504,18.355907027468046,18.403958405928652,18.884479522705078,125709641,125709641
1992,2021-11-02 00:00:00+08:00,20.2779921499367,18.93253334608744,19.076689319170814,19.701366424560547,207004901,207004901
1993,2021-11-03 00:00:00+08:00,20.37409680203346,19.55721050813748,20.133836235184212,19.89357566833496,135551666,135551666
